Close,Timestamp,High,Low,Open
16500.03,1669717800000,16506.00,16498.47,16499.30
16511.57,1669718100000,16514.17,16503.49,16503.49
16507.81,1669718400000,16514.79,16507.81,16508.94
16517.17,1669718700000,16524.91,16503.99,16503.99
16511.27,1669719000000,16520.87,16510.05,16513.74
16507.50,1669719300000,16516.66,16507.50,16510.06
16500.15,1669719600000,16507.76,16500.15,16505.85
16510.15,1669719900000,16510.65,16498.45,16500.15
16517.19,1669720200000,16517.19,16505.17,16508.17
16510.15,1669720500000,16513.74,16507.19,16513.74
16516.29,1669720800000,16535.46,16508.73,16511.56
16505.65,1669721100000,16515.44,16501.62,16515.44
16508.23,1669721400000,16510.47,16500.28,16500.28
16509.35,1669721700000,16514.58,16509.35,16513.07
16495.50,1669722000000,16508.81,16495.42,16508.81
16492.12,1669722300000,16499.28,16491.29,16497.54
16500.91,1669722600000,16503.83,16492.88,16492.88
16495.28,1669722900000,16498.78,16494.95,16495.80
16485.22,1669723200000,16492.61,16485.22,16491.50
16490.04,1669723500000,16502.64,16484.39,16484.39
16470.75,1669723800000,16493.11,16470.75,16490.12
16486.72,1669724100000,16487.47,16477.33,16478.33
16500.86,1669724400000,16500.87,16486.70,16486.70
16494.18,1669724700000,16498.58,16493.72,16496.15
16485.17,1669725000000,16496.40,16481.36,16495.10
16482.24,1669725300000,16485.84,16482.24,16485.84
16481.39,1669725600000,16481.53,16474.17,16479.32
16483.65,1669725900000,16486.49,16480.00,16484.73
16476.38,1669726200000,16485.71,16472.05,16483.65
16486.48,1669726500000,16486.48,16476.46,16480.47
16483.19,1669726800000,16485.43,16481.97,16485.43
16474.66,1669727100000,16483.19,16470.21,16481.97
16469.40,1669727400000,16480.91,16469.07,16474.66
16466.33,1669727700000,16480.10,16466.33,16477.88
16476.00,1669728000000,16476.45,16467.61,16467.61
16466.32,1669728300000,16472.26,16453.15,16468.24
16447.31,1669728600000,16457.41,16440.01,16451.19
16415.78,1669728900000,16448.27,16400.00,16448.27
16423.20,1669729200000,16429.93,16397.31,16415.79
16424.98,1669729500000,16437.24,16424.98,16427.49
16390.67,1669729800000,16428.76,16385.81,16428.76
16407.91,1669730100000,16411.92,16385.13,16389.85
16400.53,1669730400000,16418.14,16400.53,16409.66
16414.36,1669730700000,16414.36,16399.81,16405.49
16418.85,1669731000000,16426.04,16414.05,16414.05
16402.47,1669731300000,16426.47,16400.33,16426.47
16399.49,1669731600000,16405.21,16393.88,16402.92
16406.08,1669731900000,16408.45,16394.33,16404.32
16441.72,1669732200000,16441.72,16369.25,16395.04
16430.37,1669732500000,16430.37,16426.28,16430.37
16434.63,1669732800000,16450.62,16428.25,16428.25
16449.49,1669733100000,16449.49,16429.03,16434.06
16437.67,1669733400000,16455.12,16436.79,16449.49
16368.23,1669733700000,16435.53,16340.00,16435.53
16360.10,1669734000000,16380.09,16359.96,16359.96
16386.40,1669734300000,16394.29,16353.77,16361.17
16373.56,1669734600000,16385.92,16360.03,16385.34
16379.87,1669734900000,16384.36,16371.30,16371.30
16388.41,1669735200000,16390.01,16383.62,16387.11
16412.06,1669735500000,16412.06,16386.38,16391.12
16434.55,1669735800000,16451.59,16415.37,16415.37
16419.95,1669736100000,16438.32,16419.95,16434.71
16398.05,1669736400000,16414.06,16395.55,16407.98
16401.10,1669736700000,16403.17,16393.48,16393.48
16389.77,1669737000000,16403.18,16386.70,16402.41
16392.90,1669737300000,16392.91,16384.63,16384.63
16376.28,1669737600000,16397.70,16376.28,16387.08
16364.20,1669737900000,16393.51,16364.20,16377.33
16368.02,1669738200000,16368.02,16346.43,16357.97
16363.81,1669738500000,16371.76,16357.00,16362.22
16374.53,1669738800000,16374.53,16358.39,16360.31
16385.44,1669739100000,16387.04,16379.30,16381.59
16396.64,1669739400000,16398.53,16385.12,16385.12
16417.11,1669739700000,16419.25,16392.56,16398.35
16413.51,1669740000000,16417.40,16409.63,16409.64
16401.96,1669740300000,16413.52,16397.93,16413.52
16404.63,1669740600000,16405.69,16397.92,16401.96
16408.74,1669740900000,16417.29,16406.76,16406.76
16419.25,1669741200000,16419.25,16411.22,16411.39
16412.63,1669741500000,16421.57,16411.50,16420.38
16409.94,1669741800000,16414.13,16400.63,16412.13
16402.92,1669742100000,16414.63,16399.34,16412.88
16383.04,1669742400000,16404.90,16383.04,16402.85
16364.46,1669742700000,16382.87,16357.05,16382.87
16383.19,1669743000000,16389.88,16361.05,16364.69
16384.68,1669743300000,16390.21,16378.50,16384.21
16378.66,1669743600000,16384.30,16373.81,16384.30
16388.59,1669743900000,16389.41,16378.64,16379.73
16379.18,1669744200000,16388.81,16379.18,16387.64
16380.09,1669744500000,16387.67,16379.73,16379.73
16368.24,1669744800000,16382.32,16368.24,16378.98
16391.69,1669745100000,16394.64,16369.69,16372.95
16382.59,1669745400000,16388.14,16376.44,16388.14
16380.61,1669745700000,16383.66,16373.73,16383.66
