거래,면적,가격,동,상세 설명
전세,"334A/273m², 1/9층, 남향",150억,103동,주인직접 나인원한남 듀플렉스 세대 귀한전세
전세,"334A/273m², 1/9층, 남향",150억,103동,100 l 듀플렉스 l 귀한전세 l 최고급단지
전세,"334A/273m², 1/9층, 남향",150억,103동,주인직접 넓은마당과 테라스 복층
전세,"334A/273m², 1/9층, 남향",150억,102동,"넓은마당 , 테라스 구조 입니다"
월세,"293B/244m², 고/5층, 남향",,107동,
전세,"334A/273m², 1/9층, 남향",150억,103동,집주인의뢰 듀플렉스 복층 단독정원세대
전세,"334A/273m², 저/9층, 남향",150억,103동,듀플렉스 테라스 특화 세대. 아주 귀한 매물. 
전세,"334A/273m², 1/9층, 남향",150억,102동,실사용131P 복층 넓은마당과 테라스 차고까지
전세,"334A/273m², 1/9층, 남향",150억,103동,최고급 단지 나인원한남 듀플렉스 전세
전세,"248A/206m², 저/9층, 남동향",77억,102동,빠른입주가능 귀한 전세매물 내부상태 최상
월세,"248B/206m², 중/9층, 남동향",,104동,탁트인세대 내부상태 최상
월세,"248B/206m², 중/9층, 남향",,104동,로얄동 로얄라인 뷰가좋은 최고라인
전세,"248A/206m², 저/9층, 남향",77억,102동,단지내 뷰가 예쁜세대
월세,"248B/206m², 고/9층, 남향",,104동,"소유주 직접 의뢰, 나인원 한남 로얄동 월세 매물"
월세,"248B/206m², 중/9층, 남향",,104동,로얄동 로얄층 남향 프라이빗 주거 가능
매매,"248B/206m², 중/9층, 남향",100억,101동,
월세,"333B/273m², 저/5층, 서향",,105동,
전세,"334A/273m², 1/9층, 남향",150억,103동,나인원 복층 정원세대 비교불가의 하이엔드 아파트 정원세대
월세,"248B/206m², 중/9층, 남동향",,104동,앞이트인 동으로 프라이빗하게 거주가능
전세,"334A/273m², 저/9층, 남향",150억,102동,한남동 고급주택 나인원한남 귀한 전세 입니다
