title,body
"SK에코플랜트, 개방형 기술공모전 '콘테크 미트업 데이' 시상식데일리안|2022.11.22 09:41","SK에코플랜트는 지난 21일 개방형 기술 공모전 '콘테크 미트업 데이(ConTech Meet-Up Day)' 시상식을 개최했다. ⓒSK에코플랜트[데일리안 = 황보준엽 기자] SK에코플랜트는 지난 21일 개방형 기술 공모전 '콘테크 미트업 데이(ConTech Meet-Up Day)' 시상식을 개최했다고 22일 밝혔다.이번 공모전은 SK에코플랜트와 과학기술정보통신부 산하 연구개발특구진흥재단을 비롯해 한국무역협회·경북창조경제혁신센터·서울창조경제혁신센터 등 공공기관이 공동으로 개최했다.혁신 기술 아이디어를 가진 국내 중소기업 및 스타트업을 발굴하고, 연구개발을 지원하기 위해 지난 9월부터 공모를 진행했고 친환경·신재생에너지·스마트건설 분야 총 90개의 기술이 접수됐다.SK에코플랜트는 서류 심사 및 프레젠테이션 발표를 거쳐 ▲친환경 3개 ▲신재생에너지 1개 ▲스마트건설 3개 등 7개 기업을 수상기업으로 최종 선정했다. 평가 시 기술의 우수성·사업성·공동개발 가능성 등을 종합적으로 고려됐다.공모전 수상 기업은 연구개발특구진흥재단으로부터 정부과제 등을 지원받을 수 있다. SK에코플랜트와 공동 R&D를 진행하고 프로젝트 적용 가능성 검토를 거쳐 실제 현장에 적용하는 등 혜택도 함께 주어진다.친환경 분야에서 수상기업으로 선정된 3곳 중 한국순환소재는 폐기물에서 황산을 중화시켜 추출한 석고를 활용해 시멘트 부재료 등 업사이클링 제품을 생산하는 기업이다.스마트건설 분야에서는 방음터널 내부 온도 상승을 막고 바람에 대한 저항성을 높인 방음벽 관련 기술을 보유한 에스코알티에스(ESCO RTS) 등 3곳이 수상의 영예를 안았다. 유일한 신재생에너지 분야 수상기업으로는 열 에너지의 온도 차이를 이용해 산업 폐열을 재활용, 전기를 생산하는 기술을 선보인 리빙케어가 선정됐다.이날 시상식에서 SK에코플랜트는 지속가능한 산업생태계를 조성하기 위해 구축한 '밸류업 플랫폼(Value Up Platform)' 활동의 일환으로 투자 유치 행사도 함께 진행했다.박경일 SK에코플랜트 사장은 ""개방형 혁신 프로그램은 아이디어를 바탕으로 새로운 사업 기회를 창출하고 새로운 성장동력을 마련할 수 있는 기회의 장""이라며 ""SK에코플랜트는 중소기업 및 스타트업과 동반성장을 추구하며 혁신기술을 발굴하는 노력을 계속해 나가겠다""고 말했다.황보준엽 기자 (djkoo@dailian.co.kr)[데일리안 만평보기][제보하기]Copyright ⓒ 데일리안. All rights reserved. 무단 전재 및 재배포 금지.데일리안 관련뉴스해당 언론사에서 선정하며언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.SK에코플랜트-남부발전, '그린수소·암모니아 사업개발' 협력SK에코플랜트, 중부발전·KCMT와 '탄소배출권 개발사업' 업무협약SK에코플랜트, 반도체 제조 핵심 초순수 사업 진출SK에코플랜트, 스타트업 혁신기술 투자유치 치원DL이앤씨·SK에코플랜트, '차나칼레대교' 유럽 강철교량상 수상"
"[시황] 코스피, 눈치보기 속 2410선 약보합...코스닥도↓데일리안|2022.11.22 09:43","ⓒ데일리안[데일리안 = 백서원 기자] 코스피가 22일 외국인 매도세에 약세를 나타내면서 2410선에서 거래되고 있다. 이날 하락 출발한 뒤 2420선으로 반등한 코스피는 재차 하락 전환하는 등 눈치보기 장세를 이어가고 있다.이날 오전 9시 32분 코스피지수는 전 거래일 대비 3.15p(0.13%) 하락한 2416.34를 나타내고 있다.지수는 전장보다 13.54p(0.56%) 내린 2405.96에 개장했다.코스피시장에서는 개인이 308억원, 기관이 129억원을 순매수하고 있다. 반면 외국인은 367억원을 순매도하고 있다.같은 시각 코스닥지수는 전 거래일 대비 2.63p(0.37%) 떨어진 715.94을 가리키고 있다.코스닥시장에서는 개인이 454억원을 사들이고 있다. 외국인은 302억원, 기관은 110억원을 팔아치웠다.앞서 미국 뉴욕증시는 오는 24일 예정된 추수감사절 연휴를 앞두고 중국의 코로나19 우려 등에 하락했다.21일(현지시간) 뉴욕증권거래소(NYSE)에서 다우존스30산업평균지수는 전장보다 45.41p(0.13%) 하락한 3만3700.28로 거래를 마쳤다. 스탠더드앤드푸어스(S&P)500지수는 15.40p(0.39%) 떨어진 3949.94로, 나스닥지수는 121.55p(1.09%) 밀린 1만1024.51로 장을 마감했다.서정훈 삼성증권 연구원은 “6개월 만에 처음으로 중국 내 코로나19 사망자가 발생하며 경계감이 상승했다”면서 “아직 전면 봉쇄와 같은 조치는 취해지지 않았지만 중국의 재개방 움직임이 후퇴할지 모른다는 우려가 시장 내 확산되는 모습이었다”고 분석했다.백서원 기자 (sw100@dailian.co.kr)[데일리안 만평보기][제보하기]Copyright ⓒ 데일리안. All rights reserved. 무단 전재 및 재배포 금지.데일리안 관련뉴스해당 언론사에서 선정하며언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.사직에 뜨는 강남스타일, 롯데 마운드 변화시킬까SK에코플랜트, 개방형 기술공모전 '콘테크 미트업 데이' 시상식제주서 패러글라이딩 하던 40대 여성, 야구장 그물에 걸려 '아찔'유안타증권, 1500억 규모 '원금지급형 DLB' 2종 공모교보생명-세종문화회관, 예술문화 대중화 위해 손 잡았다"
"전한 강강술래, 국제요리경연대회서 금상 수상데일리안|2022.11.22 09:46","전한 강강술래가 ‘제10회 한식의 날 대축제 K-FOOD 국제요리경연대회 전통부문(전시)’에서 금상(서울특별시장상)을 수상했다.ⓒ전한[데일리안 = 최승근 기자] 전한 강강술래가 ‘제10회 한식의 날 대축제 K-FOOD 국제요리경연대회 전통부문(전시)’에서 금상(서울특별시장상)을 수상했다고 22일 밝혔다.개인과 단체부문으로 나눠 펼쳐진 경연대회에서 강강술래 대표팀은 K-FOOD 국제요리경연대회 전통부문(전시)에 참가해 금상을 수상했다.이번 대회에 참가한 강강술래 대표팀은 강강술래 강요선 메인 조리장과 본사 김진경 메뉴개발팀장을 필두로 전한 강강술래 JMP(Junior Manager Program) 교육을 수료한 강강술래 신림점 김충영 팀장, 늘봄농원점 이한솔 팀장과 추진경 매니저, 상계점 박명빈 매니저, 역삼점 남민수 매니저, 김세영 매니저가 함께 참여해 그 의미를 더했다.이들은 한우의 최고급 부위를 엄선하여 육질의 결이 곱고 부드러우며 육즙이 풍부한 한우스페셜과 함께 우렁 케일쌈밥, 떡잡채, 계절김치, 불고기 오색면샐러드, 한우 육전, 훈제오리&백김치말이, 호박범벅 건강샐러드, 구운 관자요리, 비빔냉면, 영양갈비탕, 잡채, 한우 물육회, 가오리무침을 곁들여 한식의 명가 강강술래의 특색이 잘 드러나는 요리로 한상을 완성했다.김진경 메뉴개발팀장은 “한식이 세계 속에 제일 가는 음식 문화로 손꼽힐 수 있도록 강강술래의 헤드 쉐프와 주니어 쉐프들이 함께 합심해 메뉴 선정부터 조리까지 공들여 이룬 결과라 그 의미가 더 크다”며 “강강술래는 대한민국 대표 한식 브랜드로서 전 세계인 누구나 즐길 수 있는 한식을 만들어 가겠다”고 소감을 밝혔다.최승근 기자 (csk3480@dailian.co.kr)[데일리안 만평보기][제보하기]Copyright ⓒ 데일리안. All rights reserved. 무단 전재 및 재배포 금지.데일리안 관련뉴스해당 언론사에서 선정하며언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.강강술래, 고객감사 1+1 포장 이벤트발란, '익스프레스' 론칭 7개월 만에 주문액 2천억원 달성사직에 뜨는 강남스타일, 롯데 마운드 변화시킬까대웅제약 '당뇨병 신약 DWP16001, 반려동물 임상서 안전성 확인'CJ 계열사 상근고문으로 채용 '이정근'…검찰, 노영민 개입 여부 조사"
"사직에 뜨는 강남스타일, 롯데 마운드 변화시킬까데일리안|2022.11.22 09:47","FA 포수 유강남 영입하며 마운드 상승 효과 기대리그 최고의 프레이밍 능력, 올 시즌 LG 팀 평균자책점 1위 견인지갑 연 롯데, 올 시즌 9위에 머물렀던 팀 평균자책점 상승 기대롯데와 FA 계약을 체결한 유강남. ⓒ 롯데 자이언츠[데일리안 = 김평호 기자] LG트윈스를 떠나게 된 유강남이 내년 시즌 롯데 자이언츠 투수들을 어떻게 탈바꿈 시킬지 벌써부터 관심이 모아진다.롯데는 21일 FA 포수 유강남과 계약기간 4년, 계약금 40억 원, 연봉 34억 원, 옵션 6억 원, 총액 80억 원에 계약을 체결했다.매 시즌 포수 쪽이 약점으로 지적됐던 롯데의 선택은 결국 외부 FA 영입이었다. 롯데는 2017시즌 종료 이후 FA 자격을 얻은 팀의 주전 포수였던 강민호가 삼성으로 떠난 뒤 전력이 약해졌다.후계자 찾기에 실패한 롯데는 강민호 이적 이후 5년 동안 가을야구 무대를 밟지 못했다. 나균안, 안중열, 정보근 등이 기회를 받았고, 트레이드를 통해 지시완까지 데려왔지만 생각보다 젊은 선수들의 성장은 더뎠다. 또 FA 시장에서는 그간 소극적인 행보를 보이며 포수를 영입하지 않았다.하지만 올해는 마침내 지갑을 열었다. 올 시즌 LG트윈스의 주전 포수로 활약하며 팀 평균자책점 1위를 이끈 유강남이 롯데 마운드를 한 단계 업그레이드 시켜줄 것으로 기대를 모으고 있다.2011년 7라운드로 LG트윈스에 입단한 유강남 선수는 통산 1030경기에 나와 타율 0.267, 103 홈런, 447타점을 기록 중이다. 올 시즌 포수로 1008.1이닝을 출전하는 등 최근 5시즌 연속 950이닝 이상을 뛴 유일한 포수로 내구성이 뛰어나다는 평가를 받고 있다.롯데는 단순히 타율만으로는 설명할 수 없는 유강남의 가치를 높이 평가했으며, 그가 팀 투수진을 한 단계 성장시켜줄 것으로 기대하고 있다.리그 최고의 프레이밍 능력을 갖추고 있는 유강남. ⓒ 뉴시스유강남은 리그 최고의 프레이밍 능력을 갖추고 있다. 수치로 평가할 수 없지만 투수들에게는 상당한 심리적 안정을 주는 포수다.볼카운트 싸움에 예민한 투수 입장에서는 볼이 될 수 있는 공이 포수의 프레이밍 능력으로 스트라이크 판정을 받는다면 타자와의 수 싸움에서도 우위를 점할 수 있고, 좀 더 자신감 있게 투구할 수 있는 측면이 있다.롯데는 올 시즌 팀 평균자책점이 4.45로 9위에 그쳤다. 아직 ‘미완의 대기’로 남아 있는 젊은 선수들이 많은 팀이기도 해 유강남의 가세가 큰 힘이 될 전망이다.강민호 이후 모처럼 KBO리그 정상급 포수를 품게 된 롯데가 달라진 마운드의 힘을 앞세워 6년 만에 가을야구 무대를 밟을 수 있을지 주목된다.김평호 기자 (kimrard16@dailian.co.kr)[데일리안 만평보기][제보하기]Copyright ⓒ 데일리안. All rights reserved. 무단 전재 및 재배포 금지.데일리안 관련뉴스해당 언론사에서 선정하며언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.유강남과 다른 대체불가 채은성, LG 잔류하나'강민호 이후…' 포수 갈증 롯데, FA 포수 유강남 영입…프레이밍+파워유강남 놓친 LG, 박동원과 4년 총액 65억원 FA 계약'심기일전해도 모자랄 판에' 한화에 재 뿌린 하주석[영상] 가을야구 초대 받지 못한 5개 팀, 숨기고 싶은 불명예는? (ft.영상링크-당몰야)"
"삼성카드, ‘우수디자인 상품선정’서 산업통상자원부장관상 수상데일리안|2022.11.22 09:48","ⓒ삼성카드[데일리안 = 이세미 기자] 삼성카드가 ‘우수디자인(GD) 상품선정’에서 산업통상자원부장관상(그린디자인특별상)을 수상했다고 22일 밝혔다.1985년부터 매년 시행되고 있는 우수디자인(GD) 상품선정은 산업통상자원부가 주최하고 한국디자인진흥원이 주관하는 국내 최고 권위의 디자인 어워드다. 공정한 심사를 거쳐 디자인이 우수한 상품과 서비스에 정부인증 마크인 GD(Good Design)마크를 부여한다.이번 우수디자인(GD) 상품선정에서는 1481건의 출품작이 수상을 위한 경쟁을 벌였다. 그린디자인특별상은 친환경 디자인의 보편화를 위해 올해 새롭게 신설된 시상이다.산업통상자원부장관상(그린디자인인특별상)을 수상한 삼성 iD 카드는 10년 만에 브랜드와 상품체계 개편으로 출시한 삼성카드의 주력 카드상품 라인업이다.삼성 iD 카드는 다양한 취향을 담은 상품과 서비스를 제공하고 있으며, 카드 디자인도 상품별로 고객 취향에 맞춰 선택할 수 있는 선택형 디자인과 디지털 세대에게 익숙한 세로형 디자인을 적용했다. 특히 폐플라스틱을 재활용한 PVC 소재, 친환경 인쇄용지 및 인쇄방식 등 환경을 고려한 디자인 접근 방식이 돋보인다고 평가받았다.삼성카드 관계자는 “고객 취향 중심의 브랜드 사상을 디자인에도 반영한 것이 고객에게 큰 반응을 얻고 있다”며 “앞으로도 고객의 관점에서 유용한 디자인으로 보답할 것”이라고 말했다.이세미 기자 (lsmm12@dailian.co.kr)[데일리안 만평보기][제보하기]Copyright ⓒ 데일리안. All rights reserved. 무단 전재 및 재배포 금지.데일리안 관련뉴스해당 언론사에서 선정하며언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.발란, '익스프레스' 론칭 7개월 만에 주문액 2천억원 달성사직에 뜨는 강남스타일, 롯데 마운드 변화시킬까전한 강강술래, 국제요리경연대회서 금상 수상[시황] 코스피, 눈치보기 속 2410선 약보합...코스닥도↓SK에코플랜트, 개방형 기술공모전 '콘테크 미트업 데이' 시상식"
박홍근 원내대표 모두발언데일리안|2022.11.22 09:52,"ⓒ데일리안 박항구 기자[데일리안 = 박항구기자] 박홍근 더불어민주당 원내대표가 22일 오전 국회에서 열린 원내대책회의에서 모두발언을 하고 있다.박항구기자 (underfl@hanmail.net)[데일리안 만평보기][제보하기]Copyright ⓒ 데일리안. All rights reserved. 무단 전재 및 재배포 금지.데일리안 관련뉴스해당 언론사에서 선정하며언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.주호영 '예산안 처리 후 이태원 국조' 제안에 박홍근 '내부 검토하겠다'박홍근 '정진상, 검찰이 주장하는 일 저지를 사람 아냐'최고위 발언하는 박홍근 원내대표머리 맞댄 이재명-박홍근이재명-박홍근 '긴밀한 논의'"
민주당 원내대책회의 주재하는 박홍근데일리안|2022.11.22 09:52,"ⓒ데일리안 박항구 기자[데일리안 = 박항구기자] 박홍근 더불어민주당 원내대표가 22일 오전 국회에서 열린 원내대책회의에서 모두발언을 하고 있다.박항구기자 (underfl@hanmail.net)[데일리안 만평보기][제보하기]Copyright ⓒ 데일리안. All rights reserved. 무단 전재 및 재배포 금지.데일리안 관련뉴스해당 언론사에서 선정하며언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.박홍근 원내대표 모두발언주호영 '예산안 처리 후 이태원 국조' 제안에 박홍근 '내부 검토하겠다'박홍근 '정진상, 검찰이 주장하는 일 저지를 사람 아냐'최고위 발언하는 박홍근 원내대표머리 맞댄 이재명-박홍근"
"발란, '익스프레스' 론칭 7개월 만에 주문액 2천억원 달성데일리안|2022.11.22 09:53","ⓒ발란[데일리안 = 이나영 기자] 발란은 발란 익스프레스 서비스 론칭 7개월 만에 누적 주문 금액 2000억원을 달성했다고 22일 밝혔다.발란이 지난 3월 론칭한 발란 익스프레스는 고객이 오후 1시 전까지 결제하면 당일 밤에 받아볼 수 있는 오늘도착과 당일 출고하는 오늘출발 서비스를 제공한다. 고객은 매월 평균 4000여 건씩 추가되는 발란 익스프레스 전용 서비스 상품을 통해 다양한 럭셔리 상품을 빠르게 받아볼 수 있는 배송 경험을 누릴 수 있다.지난 4월부터 10월까지 발란 익스프레스의 총 주문 건수는 약 45만 건(전체 주문 95만 건의 47%), 누적 주문 금액은 약 2000억원을 달성했다. 그 중 5월의 주문 건수와 주문 금액이 가장 높았으며 각각 약 9만4000건과 439억원을 기록했다.발란 측은 5월에는 사회적 거리두기가 해제됐지만 비대면 쇼핑에 익숙한 고객들이 다양한 브랜드의 상품을 한눈에 비교하고 본인이 원하던 상품을 용이하게 찾는 등 럭셔리 쇼핑을 편하고 빠르게 즐길 수 있는 방법을 선호하는 것으로 분석했다.제품 구매 시 당일 출발하는 오늘출발을 가장 많이 이용한 지역은 경기(12만3000건)였으며, 그 뒤는 ▲서울(8만5000건) ▲인천(2만6000건) ▲부산(2만3000건) ▲대구(1만7000건)로 나타났다. 이용자 연령은 20·30세대가 전체 주문자의 48%를 차지했으며, 20대 주문 건수가 10만9000건으로 가장 많은 이용률을 보였다. 30대와 40대가 약 10만1000건, 7만9000건을 기록해 20대부터 40대까지 다양한 연령층이 럭셔리 상품도 빠르게 배송 받는 경험을 선호하는 것으로 분석된다.카테고리에서는 여성, 남성,골 프 순으로 많은 주문 건수를 기록했으며, 그 중 남성은 의류를, 여성은 가방을 가장 많이 구매한 것으로 나타났다.최형준 발란 최고운영책임자(COO)는 “발란 익스프레스 서비스는 럭셔리 쇼핑의 배송 경험을 개선하기 위한 첫 출발이었으며 숨은 고객의 니즈를 발굴하면서 단기간에 괄목할 만한 성과를 낼 수 있었다”며 “발란은 퀵 커머스의 물류 효율을 지속적으로 높일 계획이며 장기적으로는 럭셔리 고객 맞춤형 배송 서비스를 선보일 예정”이라고 말했다.이나영 기자 (ny4030@dailian.co.kr)[데일리안 만평보기][제보하기]Copyright ⓒ 데일리안. All rights reserved. 무단 전재 및 재배포 금지.데일리안 관련뉴스해당 언론사에서 선정하며언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.발란, 명품 최대 91% 할인 '블프' 프로모션발란, '커넥티드 스토어' 오픈 3개월 만에 월매출 10억원 돌파발란, B2B 서비스 부문 '발란 커넥트' 분사…'파트너사 지원 강화'발란, 250억 규모 시리즈C 투자 유치 성공발란, 포츠 그룹과 국내 최초 온라인 독점 파트너십 체결"
"KB저축은행, ‘제2회 이중언어말하기 대회’ 개최데일리안|2022.11.22 09:55","KB저축은행이 지난 11일 송파구 내 글로벌 가정 어린이 대상으로 개최한 제2회 이중언어 말하기 대회 시상식 에서 허상철(왼쪽) KB저축은행 대표와 수상한 어린이들이 기념 촬영을 하고 있다. ⓒKB저축은행[데일리안 = 이세미 기자] KB저축은행이 지난 11일 송파구 내 글로벌 가정 어린이를 대상으로 ‘제2회 이중언어(한국어, 부모님 모국어)말하기 대회’를 개최했다고 22일 밝혔다.국내거주 중인 글로벌 가정 자녀의 경우 단일어(한국어) 언어환경에 노출돼 모국어 사용을 포함한 문화적 차이가 발생하고 특히, 해외 거주중인 할머니 또는 할아버지와의 의사소통이 어렵다.이에 KB저축은행은 글로벌 가정의 가족 간 소통 활성화와 건강한 가족관계 형성을 돕기 위해 아동들의 이중언어교육 프로젝트를 지난해 부터 진행해오고 있다. 또한 이중언어 환경조성 부모교육을 통해 이중언어 학습의 중요성을 전하고 글로벌 가정 자녀의 이중언어학습을 장려하고 있다.뿐만 아니라 이중언어 말하기 대회 개최를 통해 글로벌 가정 자녀의 이중언어 강점을 발휘할 수 있도록 돕고 정체성 확립과 자긍심을 갖는 계기를 마련하고 있다.신종 코로나바이러스 감염증 예방을 위해 대회는 사전 녹화영상을 통해 비대면으로 진행하고, 시상식에는 초등부 및 유아부 부문 대상(KB저축은행) 수상자 어린이 2인 가족만 참여하는 등 최소인원으로 진행됐다.이번 대회에서는 ‘내 꿈을 말해 Dream’ 이라는 주제로 총 27명의 글로벌가정 어린이들이 참가했으며 루마니아어, 일본어, 필리핀어, 러시아어 등의 다양한 언어로 각자 자신의 꿈에 대해 발표했다.허상철 KB저축은행 대표는 “자신의 잠재력을 발견하고 미래를 향해 더 큰 꿈을 가질 수 있기를 바라며, 꿈을 이루어갈 수 있도록 적극적으로 지원하겠다”고 말했다.이세미 기자 (lsmm12@dailian.co.kr)[데일리안 만평보기][제보하기]Copyright ⓒ 데일리안. All rights reserved. 무단 전재 및 재배포 금지.데일리안 관련뉴스해당 언론사에서 선정하며언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.LG전자, 클로이 로봇 공급 확대… '맞춤형 의료 로봇 서비스' 강화발란, '익스프레스' 론칭 7개월 만에 주문액 2천억원 달성민주당 원내대책회의 주재하는 박홍근삼성카드, '우수디자인 상품선정'서 산업통상자원부장관상 수상"
"LG전자, 클로이 로봇 공급 확대… ‘맞춤형 의료 로봇 서비스’ 강화데일리안|2022.11.22 10:00","용인세브란스병원에 다양한 클로이 로봇 공급…의료 서비스 향상·업무 효율화 협력LG전자는 최근 용인세브란스병원에 클로이 서브봇과 가이드봇을 공급하며 의료 환경에 최적화된 맞춤형 의료 로봇 서비스를 선보이고 있다. 용인세브란스병원 소속 의료진이 LG 클로이 서브봇(서랍형)이 배송해온 의약품을 수령하고 있다.ⓒLG전자[데일리안 = 조인영 기자] LG전자가 의료환경에 최적화한 LG 클로이 로봇을 앞세워 의료기관 공급을 확대하고 있다.LG전자는 최근 연세대학교 의과대학 용인세브란스병원에 클로이 서브봇과 가이드봇을 각각 4대, 3대씩 공급했다고 22일 밝혔다.용인세브란스병원은 의료 서비스 고도화 및 업무 효율화를 위해 한국로봇산업진흥원이 주관하는 서비스 로봇 실증사업 진행의 목적으로 지능형 서비스 로봇을 도입하고 있다.LG 클로이 로봇은 기존 의료 서비스 로봇이 혈액 운반 등 단순 배송 업무에 주로 사용된 것과 달리 방문객 안내, 의약품 및 의료기구 배송, 심야 시간대 순찰 등 병원 안 다양한 공간에서 고객에게 맞춤형 로봇 서비스를 제공한다.이번에 공급한 LG 클로이 서브봇은 병원정보시스템(HIS)과 로봇관제시스템 간 연동을 기반으로 생체 인증 기술을 적용해 의약품을 전달 받을 병원 관계자를 식별한다. 또 의료 기구의 다양한 규격을 고려한 맞춤형 트레이를 적용하는 등 의료환경에 최적화된 기능을 탑재했다.LG전자는 클로이 서브봇(서랍형)에 손가락의 정맥으로 신분을 확인하는 생체인증(지정맥) 기술을 처음으로 적용했다. 병원정보시스템과의 연동을 통해 지정된 인원만 물건이 보관된 서랍을 열 수 있어 중요한 의약품 배송에 유용하다. 또 통신 암호화 기술을 적용해 시스템으로부터 로봇이 정보를 전달 받을 때 보안성도 높였다.서랍형 LG 클로이 서브봇은 자율 주행 및 장애물 회피기술을 기반으로 혼자서 병원 내 승강기를 탑승하거나 자동문도 통과해 혈액 검체나 의약품 등을 입원실, 약제실, 주사실 등 여러 목적지에 순서대로 배송한다.다양한 크기의 수술 도구에 최적화된 트레이를 적용한 선반형 LG 클로이 서브봇은 수술실 안팎으로 수술 도구를 운반해 의료진의 불필요한 이동과 감염 위험도 줄여준다.안내 로봇인 LG 클로이 가이드봇은 터치스크린과 음성 안내를 통해 환자와 보호자에게 필요한 정보를 알려준다. 약국, 병원비 수납처 등 병원 내 시설로 직접 길을 안내해줄 뿐만 아니라, 탑재된 카메라를 활용해 심야 시간대에는 순찰 업무도 수행한다.클로이 가이드봇의 앞과 뒤에 각각 탑재된 27형 디스플레이에서는 어린이 환자들을 위한 인기 애니메이션과 게임 등도 제공된다.LG전자는 최근 용인세브란스병원에 클로이 서브봇과 가이드봇을 공급하며 의료 환경에 최적화된 맞춤형 의료 로봇 서비스를 선보이고 있다. 이번에 도입한 LG 클로이 서브봇(서랍형)은 병원정보시스템과 로봇관제시스템을 연동해 병원 관계자를 식별하고 맞춤형 서비스를 제공한다. 용인세브란스병원 소속 의료진이 생체인증(지정맥)을 통해 의약품을 수령하고 있다.ⓒLG전자LG전자는 지난 2020년 서울대학교병원 대한외래를 시작으로 이원의료재단, 국립암센터 등에 LG 클로이 로봇을 잇달아 공급하며 의료 분야 고객들의 페인포인트(Pain Point, 불편함을 느끼는 지점)를 해결하고 다양한 공간에서 쌓아온 노하우를 적극 반영하고 있다.노규찬 LG전자 로봇사업담당 상무는 “LG 클로이 로봇은 비대면 안내와 배송 등 반복적인 업무를 대신해 의료진의 업무 효율성을 높일 수 있다”며 “일상에서 고객과 교감하며 편의를 제공하는 동반자로서의 로봇 경험을 다양한 공간에서 지속 선보일 것”이라고 말했다.조인영 기자 (ciy8100@dailian.co.kr)[데일리안 만평보기][제보하기]Copyright ⓒ 데일리안. All rights reserved. 무단 전재 및 재배포 금지.데일리안 관련뉴스해당 언론사에서 선정하며언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.호주 최고 TV 브랜드는 'LG전자'...7년 연속 선정이재성 LG전자 부사장, '한국에너지대상'서 은탑산업훈장 수상LG전자, 역대 최다 'CES 혁신상' 수상...올레드TV는 '최고 혁신상'LG전자-서울시, 자율주행 통신기술로 어린이 교통안전 강화한다"
