title,body
"르세라핌, 시련 후 더 단단해질 컴백..'ANTIFRAGILE'","이미지 원본보기[OSEN=선미경 기자] 그룹 르세라핌(LE SSERAFIM)이 새 앨범으로 들려줄 이야기에 대한 기대감이 날로 높아지고 있다.르세라핌(김채원, 사쿠라, 허윤진, 카즈하, 홍은채)은 오는 10월 17일 두 번째 미니앨범  ‘ANTIFRAGILE’(안티프래자일)로 컴백한다. 이들은 새 음반을 통해 시련을 마주할수록 더 성장하고 단단해질 거라는 메시지를 전하고, 어떠한 어려움이 오더라도 실력과 노력으로 극복해 르세라핌만의 길을 개척하겠다는 결심을 들려줄 예정이다.이는 데뷔 앨범 ‘FEARLESS’에서 시작된 르세라핌의 이야기와 결을 같이 한다. 다섯 멤버는 데뷔 앨범으로 세상의 시선에 흔들리지 않고 두려움 없이 앞으로 나아가겠다는 의지를 보여줬다. 신보에서는 최고가 되고 싶은 ‘욕망’을 따라 그 누구도 가 보지 못한 여정을 시작한 뒤 마주한 시련에 대해 말하며 르세라핌만의 서사를 이어간다. 또 ‘ANTIFRAGILE’은 ‘FEARLESS’와 마찬가지로 모든 트랙에 멤버들의 진솔한 생각과 감정을 담아 진정성을 더한다.르세라핌이 지난 26일 공개한 앨범 트레일러 ‘The Hydra’에서는 이러한 메시지가 선명하게 드러났다. 이들은 강렬한 비트 위에 깔린 “Do you think I’m fragile?(내가 부서지기 쉬울 것 같아?)/ 私の首を切ってみて(내 목을 잘라봐)/ 몇 번이고 나는 다시 살아나”라는 내레이션을 통해 시련에 굴복하지 않겠다는 의지를 표현했다. 이 영상은 공개 10시간 만에 유튜브 조회 수 100만 건을 돌파했고 오늘(27일) 오후 2시에 현재 200만 뷰를 기록하는 등 큰 인기를 모으고 있다.르세라핌의 두 번째 미니앨범 ‘ANTIFRAGILE’은 지난 26일 기준 선주문량 40만 장을 넘겼다. 이는 예약 판매가 시작된 19일부터 일주일간 국내외 선주문량을 집계한 수치다. 르세라핌은 단 7일 만에 전작의 총 선주문량인 38만 장을 뛰어넘는 성적을 거두는 등 놀라운 성장세를 보여줬다. /seon@osen.co.kr[사진]쏘스뮤직 제공"
"‘방구석 인디 게임쇼 2022’, 시상식 진행… 총 상금 1600만 원","이미지 원본보기네오위즈 제공.[OSEN=임재형 기자] 네오위즈가 ‘방구석 인디 게임쇼 2022’의 시상식인 ‘비익스 어워드’를 지난 26일 진행했다. 총 상금 1600만 원 규모로 열린 이번 시상식에선 11개 게임이 수상 명단에 이름을 올렸다.27일 네오위즈는 지난 8월 개최한 국내 인디 게임 페스티벌 ‘방구석 인디 게임쇼 2022(이하 비익스 2022)’의 시상식 ‘비익스 어워드’를 개최했다고 밝혔다. 시상식은 지난 26일 오후 2시 서울창업허브 M플러스센터에서 진행됐다. 이번 ‘비익스 어워드’는 심사위원 평가와 관람객들의 투표를 합산해 출시 부문 톱3(지랭크 챌린지 서울상), 미출시 부문 톱2를 비롯해 심사위원상, 장려상, 인기상 등 총 5개 부문에서 11개의 게임을 선정했다. 총상금 규모는 1600만 원이다.서울산업진흥원에서 시상하는 ‘지랭크 챌린지 서울상 톱3’에는 자라나는씨앗의 ‘하이드 앤 씨크’, 리젠소프트의 ‘Ocean’, ABShot의 ‘이라’가 수상의 영예를 안았다. 경기콘텐츠진흥원이 시상하는 미출시작 부문 톱2에는 올림포스의 ‘하늘섬’과 소은게임의 ‘퇴근길랠리’가 수상했다.이 외에도 심사위원상 부문 2oclocksoft의 ‘파이널나이트’와 카셀 게임즈’의 레토피아’, 장려상 부문 갬성게임즈의 ‘당신의 안녕을 위하여’, Hoit Studio의 ‘죽음의 바다’, 인기상 부문 PepperStones의 ‘Wetory’, 주식회사 비팩스의 ‘비트 더 비트!’가 수상 명단에 이름을 올렸다.올해로 3회째를 맞이한 '비익스 2022’는 코로나19 상황에서 홍보에 어려움을 겪는 인디 게임사를 지원하기 위해 마련한 게임 페스티벌이다.네오위즈 관계자는 “‘방구석 인디 게임쇼’를 통해 재미있는 게임을 제작하는 실력있는 개발사들이 많이 있다는 것을 다시 한 번 확인했다“며 “인디 게임에 더 많은 관심을 가질 수 있도록 다양한 지원 사업을 펼쳐나가겠다”고 말했다. /lisco@osen.co.kr"
'두 번째 세계' 어우문? 독주 막을 래퍼들이 관전 포인트 [Oh!쎈 레터],"이미지 원본보기방송화면 캡처[OSEN=장우영 기자] ‘어우문(어차피 우승은 문별)’일까. 마마무 문별이 압도적인 점수로 ‘두 번째 세계’를 정복 중이다. 그렇다고 문별의 우승으로 ‘두 번째 세계’가 마무리될까. 흥미진진한 대결은 이제 시작됐을 뿐이다.K-POP 걸그룹 메인 래퍼들의 보컬 전쟁, 래퍼를 넘어 보컬리스트로서 나아갈 그녀들의 첫걸음을 담은 TBC 예능 프로그램 ‘두 번째 세계’가 본격적인 걸그룹 래퍼들의 대결로 흥미진진하고 쫄깃한 긴장감을 선사하고 있다.1라운드 타이틀 매치에 이어 2라운드 유닛 매치까지, 지난 20일까지 ‘두 번째 세계’는 총 두 번의 대결을 선보였다. 그리고 결과는 압도적이었다. 만점자가 나오기 어려운 점수 환산 룰에도 마마무 문별이 1,2라운드 모두 최고점인 1000점을 받으며 독주 체제의 발판을 마련한 것.문별의 독주 체제에 대해 김형중 PD는 “최대한 공정한 점수가 나올 수 있는 방안에 대해 고심해서 나온 경연 결과의 룰이었다. 그리고 이 룰을 정할 때만 해도 만점자가 나올 확률은 낮다고 생각했다”며 “그런데 문별이 연속으로 1,000점을 받아서 나를 포함한 모든 제작진이 너무 놀랐다. 상상도 못했다”고 말했다.이미지 원본보기‘두 번째 세계’에서 그야말로 ‘The Emperor(황제)’와도 같은 활약을 펼치고 있는 문별. 1,2라운드 연속 최고점으로 압도적 독주 체제를 구축한 문별이 이대로 최종 우승까지 거머쥐게 될까. 문별의 활약이 압도적인 건 맞지만, 요동 치는 순위 변동과 함께 참가자들의 무대 퀄리티가 점점 높아지고 있다는 점에서는 안심하기엔 이르다.가까운 예로 2라운드 주이와 문수아가 유빈X신지민 유닛을 상대로 5:0 완승을 거둔 것을 볼 수 있다. 1라운드에서 각각 8위, 7위에 그쳤던 동갑내기 두 사람은 제시의 ‘어떤 X’를 선곡했다 .밴드와 함께 등장한 주이와 문수아는 강렬한 록 사운드를 기반으로 한 관능적인 무대를 선보였다. 두 사람의 무대에 보이스 리더들도 기립, 자신의 표를 모두 던졌다.미미와 김선유는 이하이의 ‘구원자’를 선곡해 어떤 세트와 소품도 활용하지 않고 오직 몸과 목소리만을 활용했고, 현대무용을 가미한 도전정신이 돋보이는 기발한 퍼포먼스를 선보였다. 유빈과 신지민도 연륜과 관록이 느껴지는 무대를 펼쳤다. 비록 승리하진 못했지만 두 유닛 모두 신선하고 기발한 무대를 선보이며 기대치를 높였다.문별이 1,2라운드 모두 최고점을 받으면서 일부 시청자들은 ‘어우문’을 이야기하기도 한다. 하지만 아직 샴페인을 터뜨리기엔 이르다. 각자 역량을 갖추고 있고, 고퀄리티 무대와 기발한 아이디어를 선보이고 있기 때문에 이대로 심심하게 문별의 독주로 막을 내리진 않을 것이라는 전망이다. 문별의 독주를 누가 막고 문별이 이를 어떻게 지켜내려 하는지를 보는 것 또한 관전포인트다.점점 흥미진진해지는 ‘두 번째 세계’에 대해 김형중 PD는 “탈락자가 나오는 4라운드까지 문별이 독주 레이스를 지킬 수 있을지 지켜봐달라”고 전했다. JTBC ‘두 번째 세계’는 매주 화요일 오후 8시 50분 방송된다. /elnino8919@osen.co.kr"
"'엄태웅♥︎' 윤혜진, 최고기온 28도인데 ""자동차 에어컨 고장""..더위에 실성","이미지 원본보기[OSEN=김나연 기자] 배우 엄태웅의 아내 윤혜진의 자동차 에어컨이 고장났다.27일 윤혜진은 자신의 인스타그램 스토리에 ""자동차 에어컨 고장""이라며 한 장의 사진을 업로드 했다.사진에는 차를 타고 외출한 윤혜진이 담겼다. 이날 날씨는 낮 최고기온이 28도까지 치솟으며 높은 일교차를 기록하고 있는 상황. 이 가운데 자동차 에어컨이 고장난 사실을 깨달은 윤혜진은 ""하하하하핳하하하하""라며 실성한듯 웃음을 터트렸다.이어 윤혜진은 더위에 선루프를 연 채 넋이 나가있는 자신의 셀카를 올리며 ""엄죤 빨리 나와르...""라고 자신을 기다리게 하는 딸에게 압박을 전하기도 했다.한편 윤혜진은 지난 2013년 배우 엄태웅과 결혼해 슬하에 딸 지온 양을 두고 있다./delight_me@osen.co.kr[사진] 윤혜진 SNS"
"'법사' 김슬기, 알고보니 경찰..이승기X이세영 놀란 '쿨시크'","이미지 원본보기방송화면 캡처[OSEN=장우영 기자] ​‘법대로 사랑하라’ 김슬기의 쿨시크 매력이 짜릿한 전율을 터뜨렸다.KBS2 월화드라마 ‘법대로 사랑하라’(극본 임의정, 연출 이은진, 제작 (주)지담미디어, 하이그라운드)는 검사 출신 한량 갓물주 김정호(이승기)와 4차원 변호사 세입자 김유리(이세영)의 로(Law)맨스 드라마. 김슬기는 시크하고 와일드한 한세연 캐릭터의 매력을 십분 살려내며 안방극장을 매료시키고 있다.26일 방송된 7회에서는 한세연(김슬기)이 육아휴직을 마치고 경찰에 복귀한 모습이 그려졌다. 앞서 학교폭력 피해자에 이입할 수밖에 없었던 서은강(안동구)이 방화 사건을 위조했고 김정호, 김유리까지 거짓 증언을 하게 된 상황. 경찰서에서 조사를 기다리던 이들은 한세연의 예측불가한 등장에 경악, 입을 다물지 못했다. 정황을 날카롭게 살피는 한세연의 범접불가한 카리스마가 김정호와 김유리를 순간 일시정지하게 만들었다. 이어 능청스럽게 상황을 모면하려는 김유리의 거짓말을 눈치채고는 “김정호랑 너랑 의견이 일치한 걸 본 적이 없는데. 켕키는 거 있는 거 다 알아”라며 ‘본업 모먼트’를 제대로 뽐냈다.그런가 하면 학폭 가해자 아이들의 학부모들을 향해 사이다 폭격을 날리는 한세연의 일침은 보는 이들에게 짜릿함을 안겼다. 경찰서로 들이닥쳐 언성을 높여 항의하는 이들에게 분노를 쏟아내며 경찰서 내에 쫀쫀한 긴장감을 감돌게 했다. 웃음기 없는 심각한 표정으로 “장난이요? 지금 이 아이들 특수폭행 및 방화 혐의로 긴급 체포돼있는 겁니다. 정신들 차리세요”라는 한세연의 팩트 폭행이 강렬한 임팩트의 장면을 완성시켰다.이렇듯 김슬기는 눈을 뗄 수 없는 쫄깃한 열연으로 한세연 캐릭터의 쿨시크 매력을 배가하며 안방극장을 단숨에 매료시켰다. 진지한 얼굴을 드리우며 날카로운 눈빛을 번뜩이는 한세연의 와일드한 매력이 몰입도를 제대로 끌어올렸다. 김슬기의 묵직한 존재감과 캐릭터를 살아 숨 쉬게 만드는 특급 호연이 보는 이들의 심장 박동수를 드높이며 ‘법대로 사랑하라’의 재미를 더하고 있는 터. 이에 김슬기가 또 어떤 모습으로 감탄을 자아낼지 궁금증이 치솟고 있다.한편, 김슬기가 출연하는 ‘법대로 사랑하라’는 매주 월, 화요일 밤 9시 50분에 방송된다. /elnino8919@osen.co.kr"
"‘4년간 1군 2경기’ 1차지명 투수, 퓨처스 시즌 첫 선발→3이닝 1실점","이미지 원본보기[OSEN=한용섭 기자] 롯데 투수 윤성빈이 올 시즌 처음으로 퓨처스리그에서 선발 등판했다.윤성빈은 27일 강화 SSG퓨처스필드에서 열린 퓨처스리그 SSG 2군과의 경기에 선발 투수로 등판했다. 3이닝 동안 3피안타 1탈삼진 1실점을 기록했다.1회는 외야 뜬공 3개로 삼자범퇴로 끝냈다. 2회 오준혁에게 선두타자 안타를 허용하고 2루 도루까지 내줬다. 내야 땅볼로 아웃카운트를 잡으며 주자는 3루까지 진루했다. 1사 3루에서 김규남에게 우전 적시타를 맞고 실점했다.2사 1루에서 내야 땅볼 때 유격수 포구 실책으로 1,3루 위기에 몰렸다. 신동민을 2루수 뜬공으로 아웃카운트를 잡으며 추가 실점은 없었다.3회 선두타자 김태윤에게 안타를 맞았으나, 석정우를 3루수 땅볼, 최항을 좌익수 뜬공, 오준혁을 삼진으로 잡고 이닝을 끝냈다.윤성빈은 6월부터 2군 경기에 구원 투수로 출장하고 있다. 9월초까지는 등판 때마다 실점이 잦아 평균자책점이 무려 19점대였다.그런데 최근 5경기 연속 무실점을 기록했다. 7이닝을 던지며 3피안타 1볼넷 7탈삼진의 안정적인 투구를 보여줬다.이날은 시즌 처음으로 선발 투수로 마운드에 올랐다. 지난 24일 1이닝을 던진 후 이틀 쉬고 등판. 처음 선발로 등판해 3이닝을 소화했다. 퓨처스리그 성적은 14경기 1패 1홀드 평균자책점 9.98을 기록 중이다.2017년 1차 지명으로 롯데에 입단한 윤성빈은 재능을 제대로 터뜨리지 못하고 있다. 2018년 데뷔해 18경기 2승 5패 평균자책점 6.39을 기록했다.그러나 이후 2019년 1경기(⅓이닝 3실점) 등판에 그쳤고, 2021년 1경기 등판이 전부다. 1군 기록은 지난해 5월 21일 두산전에서 1이닝을 던진 것이 마지막이다./orange@osen.co.kr"
"'유니콘' 이중옥, 진지해서 더 웃기네 '악역' 탈피 성공","이미지 원본보기[OSEN=연휘선 기자] ‘유니콘’에서 배우 이중옥이 진가를 발휘하고 있다.최근 공개되고 있는 쿠팡플레이 시트콤 '유니콘'은 은은하게 돌아있는 맥콤의 CEO 스티브(신하균 분)와 크루들의 대혼돈 K-스타트업 분투기를 담은 시트콤으로, 재미는 물론 감동과 묵직한 메시지와 함께 여운까지 선사하며 웰메이드 시트콤이라는 평을 얻으며 많은 사랑을 받고 있다.그 가운데 맥콤의 개발자 곽성범 역을 맡은 이중옥의 활약이 심상치 않다. 이중옥이 연기하는 곽성범은 맥콤의 대표인 스티브가 사내에서 가장 눈치 보는 인물이자 갑중의 갑인 인물. 이 사실을 증명이라도 하듯 유일하게 사내에서 영어 이름이 아닌 자신의 본명으로 불리는 곽성범은 독특하면서도 때론 진지하고 스마트하며 또 유쾌한 매력과 함께 적재적소에서 보는 이들에게 웃음을 선사하고 있다.이중옥은 공개 첫 주부터 캐릭터와 완벽한 싱크로율로 대중들을 단숨에 휘어잡았다. 특히 이중옥은 캐릭터에 깊이 몰입한 채 최근 예능에서 뽐낸 예능감을 캐릭터에 고스란히 담아내 캐릭터를 완성했다. 목소리는 물론 말투, 표정, 호흡 하나에 이르기까지, 진지해서 더 웃긴 新예능캐를 탄생시키며 아재미 넘치는 대사 처리로 감탄을 불러일으키고 있는 것.더욱이 ‘유니콘’ 제작발표회에서 김혜영 감독과 유병재 작가가 미치도록 귀엽고 사랑스러운 캐릭터들을 관전 포인트로 꼽았듯이 이중옥은 미치도록 귀엽고 사랑스러운 맥콤 크루들 사이에서도 단연 예측 불가 독보적인 매력과 함께 빛나는 존재감을 뽐내며 시선을 모으고 있다.또한 본편과 함께 공개되는 메이킹에서 엿볼 수 있듯 이중옥은 촬영 내내 그리고 작품 속에서도 신하균(스티브 역), 원진아(애슐리 역), 김영아(모니카 역), 배유람(제시 역)을 비롯한 ‘맥콤’ 크루들과 특급 케미를 발하며 능청스러운 연기로 이중옥표 코믹 연기를 완성, 보는 이들의 웃음보를 자극하고 있다. 이에 마지막 회까지 2회만을 남겨둔 쿠팡플레이 ‘유니콘’에서 이중옥이 어떤 이야기와 함께 극에 재미를 더할지 기대가 높아지고 있다.‘유니콘’은 매주 금요일 오후 8시 쿠팡플레이에서 공개된다./ monamie@osen.co.kr[사진] 쿠팡플레이 제공."
라임라잇(LIMELIGHT) 'STARLIGHT' 데뷔 쇼케이스 무대 직캠 [O! STAR],"[OSEN=최재현 기자] 27일 오후 서울 강남 일지아트홀에서 걸그룹 라임라잇(LIMELIGHT) 데뷔 쇼케이스가 진행됐다.라임라잇은 엠넷 ‘걸스플래닛999: 소녀대전’에 출연한 이토 미유와 MBC ‘방과후 설렘’의 막강 보컬리스트로 주목받은 수혜, 그리고 퍼포먼스로 주목받는 가은 등으로 구성됐다.라임라임이 멋진 무대를 선보이고 있다. 2022.09.27 / hyun309@osen.co.kr[사진] 영상캡처이미지 원본보기"
"박솔미, 분명 아이유 만나 사진 찍었는데 왜..""합성 같아"" [★SHOT!]","이미지 원본보기박솔미 인스타그램[OSEN=장우영 기자] 배우 박솔미가 가수 아이유와 함께 찍은 소중한 사진을 공개했다.27일 박솔미는 자신의 인스타그램에 “그녀의 라이벌은 이제 자기 자신 뿐인 것 같다. 무섭도록 멋지다”라며 사진을 게재했다.게재된 사진에서 박솔미는 아이유의 콘서트를 보기 위해 가고 있다. 아이유를 응원하기 위한 응원봉까지 야무지게 챙긴 박솔미는 아이유의 콘서트를 관람하고 크게 감동 받은 듯 하다.이어 박솔미는 아이유와 함께 찍은 사진도 공개했다. 아이유는 양손으로, 박솔미는 한손으로 하트를 만들었다. 함께 찍은 것으로 보이지만 합성 같은 사진에 박솔미는 “그와중에 합성 같은 핸드폰 성능”이라고 웃었다.한편, 박솔미는 배우 한재석과 결혼해 슬하에 2녀를 두고 있다. /elnino8919@osen.co.kr"
"라임라잇(LIMELIGHT), '과즙 터지는 미모' 쇼케이스 포토타임 [O! STAR]","[OSEN=최재현 기자] 27일 오후 서울 강남 일지아트홀에서 걸그룹 라임라잇(LIMELIGHT) 데뷔 쇼케이스가 진행됐다.라임라잇은 엠넷 ‘걸스플래닛999: 소녀대전’에 출연한 이토 미유와 MBC ‘방과후 설렘’의 막강 보컬리스트로 주목받은 수혜, 그리고 퍼포먼스로 주목받는 가은 등으로 구성됐다.라임라임이 포즈를 취하고 있다.2022.09.27 / hyun309@osen.co.kr[사진] 박준형 기자 / soul1014@osen.co.kr이미지 원본보기"
